1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
531	-0.516878	208.722733	0.011731	2.7
532	-0.432805	208.524829	0.008657	2.6
533	-0.177437	208.327425	0.004927	3.1
534	0.000000	208.130518	0.000000	1.5
535	-0.054695	207.934107	0.003567	2.8
536	-0.630500	207.738189	0.009432	2.6
537	-0.704065	207.542762	0.005566	2.1
538	-0.000000	207.347825	0.000000	1.6
539	-0.682957	207.153376	0.020260	2.2
540	-0.607334	206.959412	0.019702	2.6
541	-0.914816	206.765932	0.031880	2.3
542	-0.827145	206.572933	0.039299	2.9
543	-0.272700	206.380414	0.009801	1.9
544	0.000000	206.188373	0.000000	2.9
545	-0.836087	205.996807	0.009516	2.7
546	-0.013657	205.805716	0.000178	3.8
547	-0.000752	205.615096	0.000024	2.3
548	-0.012171	205.424946	0.002233	1.7
549	-0.297686	205.235265	0.005547	3.1
550	-0.763242	205.046050	0.007483	1.9
551	-0.916555	204.857299	0.021072	3.0
552	-0.793588	204.669011	0.013754	2.6
553	0.000000	204.481184	0.000000	1.4
554	-0.686034	204.293816	0.008564	3.9
555	-0.827975	204.106905	0.006384	1.6
556	-0.434512	203.920449	0.006029	2.9
557	-0.978240	203.734447	0.026716	2.3
558	-0.932032	203.548896	0.029588	2.7
559	-0.815749	203.363795	0.011491	2.0
560	-0.000026	203.179143	0.000026	2.5
561	-0.130944	202.994937	0.003500	2.4
562	-1.080591	202.811176	0.036678	2.1
563	-0.015171	202.627857	0.000832	2.7
564	-0.662158	202.444980	0.008730	2.6
565	-0.732636	202.262543	0.009707	2.2
566	-0.786891	202.080543	0.010983	2.6
567	-0.000000	201.898979	0.000000	1.5
568	-0.741974	201.717849	0.017520	2.7
569	-0.937898	201.537153	0.025502	2.1
570	-0.752257	201.356887	0.009727	2.2
571	-0.867521	201.177050	0.019972	3.3
572	0.000000	200.997642	0.000000	2.8
573	-0.768204	200.818659	0.020269	1.8
574	-0.558907	200.640100	0.009940	2.8
575	-0.484646	200.461965	0.006328	2.8
576	-0.755706	200.284250	0.008194	2.9
577	-0.993725	200.106955	0.009674	2.9
578	0.000000	199.930078	0.000000	2.5
579	0.000000	199.753617	0.000000	2.2
580	-1.078948	199.577571	0.034406	1.8
581	-0.917835	199.401938	0.038722	3.8
582	-0.680319	199.226717	0.008743	2.4
583	0.000000	199.051905	0.000000	2.7
584	-0.197696	198.877502	0.011031	2.7
585	-0.468755	198.703506	0.007067	1.9
586	-0.719404	198.529916	0.008910	3.7
587	-0.612443	198.356729	0.011785	2.4
588	-0.469936	198.183944	0.007364	2.0
589	-0.557420	198.011560	0.006388	1.8
590	-0.892650	197.839576	0.015874	3.7
591	-0.000005	197.667989	0.000005	3.0
592	-0.333038	197.496798	0.010254	3.6
593	-0.871352	197.326002	0.022791	2.5
594	-0.701179	197.155600	0.008036	3.4
595	-0.001180	196.985589	0.000041	2.9
596	-0.918039	196.815969	0.017964	3.3
597	-0.108260	196.646738	0.002878	2.4
598	0.000000	196.477894	0.000000	3.0
599	-0.491097	196.309436	0.005993	2.6
600	-0.675882	196.141363	0.008013	2.8
601	-0.386332	195.973673	0.010917	1.9
602	-0.742586	195.806365	0.011243	2.5
603	-0.344822	195.639437	0.004403	2.0
604	-0.400459	195.472888	0.007857	1.9
605	-0.280080	195.306717	0.012609	3.6
606	-0.657582	195.140922	0.014810	2.6
607	-0.001591	194.975501	0.000150	2.5
608	0.000000	194.810454	0.000000	1.7
609	-0.720310	194.645779	0.005067	3.0
610	-0.716280	194.481475	0.009631	3.4
611	0.000000	194.317540	0.000000	1.5
612	-0.608690	194.153973	0.008701	4.5
613	-0.769923	193.990773	0.017295	3.6
614	-0.678628	193.827938	0.009911	2.3
615	-0.060875	193.665467	0.001800	3.8
616	-0.727790	193.503358	0.008763	3.1
617	-0.293036	193.341611	0.006218	1.9
618	-0.000000	193.180224	0.000000	2.1
619	-0.900581	193.019196	0.027243	2.1
620	-0.004029	192.858525	0.000319	2.5
621	-0.660916	192.698210	0.020148	3.1
622	-0.000000	192.538251	0.000000	2.0
623	-0.913676	192.378644	0.016640	3.6
624	-0.701853	192.219391	0.013994	2.2
625	-0.266797	192.060488	0.007128	3.2
626	-0.447656	191.901935	0.005775	1.9
627	-0.055130	191.743730	0.001588	3.3
628	-0.338259	191.585873	0.005188	1.9
629	-0.890637	191.428362	0.025744	2.3
