1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
289	-0.570468	110.855384	10.031126	0.015994	1.2
290	-0.576607	110.870990	10.029939	0.008844	1.1
291	-0.527770	111.781893	9.961132	0.016055	0.8
292	-0.557308	112.781824	9.886679	0.012066	1.6
293	-0.562555	112.274885	9.924285	0.014305	0.8
294	-0.593135	113.274758	9.850384	0.021843	1.5
295	-0.545234	114.274758	9.777566	0.026798	0.8
296	-0.583513	113.775815	9.813763	0.018110	1.2
297	-0.568604	113.270372	9.850706	0.012373	1.0
298	-0.572449	112.763423	9.888039	0.009904	0.9
299	-0.553009	112.257203	9.925602	0.016487	0.8
300	-0.615115	111.750345	9.963499	0.010556	1.9
301	-0.582405	112.750345	9.889006	0.020612	1.1
302	-0.564636	112.243395	9.926630	0.011452	0.9
303	-0.574145	111.736446	9.964542	0.011375	1.2
304	-0.597084	112.736446	9.890033	0.015971	1.3
305	-0.578842	112.230085	9.927622	0.016362	0.8
306	-0.572024	113.230085	9.853662	0.014870	1.5
307	-0.581660	114.230085	9.780796	0.010482	0.8
308	-0.557657	113.740262	9.816353	0.015484	0.8
309	-0.555171	114.740262	9.744035	0.017810	1.0
310	-0.599447	115.740262	9.672776	0.017206	1.4
311	-0.535293	115.233320	9.708770	0.012544	0.8
312	-0.595318	114.727379	9.744960	0.016865	1.9
313	-0.579571	115.727379	9.673687	0.010141	1.0
314	-0.614380	116.617075	9.611147	0.011825	0.8
315	-0.550840	117.606441	9.542543	0.013667	2.1
316	-0.574119	118.606436	9.474190	0.026975	0.8
317	-0.569509	119.606436	9.406809	0.021044	1.5
318	-0.594990	119.099486	9.440848	0.020274	1.1
319	-0.584883	120.099486	9.373939	0.023165	0.9
320	-0.598129	119.592537	9.407739	0.024420	1.3
321	-0.594480	120.592537	9.341297	0.015131	1.1
322	-0.569612	121.592537	9.275786	0.016616	0.9
323	-0.588167	122.146701	9.239877	0.018069	0.9
324	-0.570726	121.639751	9.272716	0.012189	1.4
325	-0.607574	122.639751	9.208161	0.007563	1.0
326	-0.548354	122.139902	9.240316	0.012825	0.8
327	-0.567716	123.139901	9.176209	0.015368	1.7
328	-0.578758	122.632952	9.208597	0.009812	1.0
329	-0.582560	123.631518	9.145019	0.011579	0.8
330	-0.558393	124.631518	9.082223	0.014420	1.2
331	-0.567169	125.631518	9.020284	0.015556	1.1
332	-0.593527	125.131621	9.051141	0.012642	0.9
333	-0.579961	126.131621	8.989624	0.014768	0.8
334	-0.548944	125.831784	9.007981	0.013191	1.8
335	-0.540081	125.324835	9.039190	0.016273	1.0
336	-0.552934	126.186291	8.986285	0.019665	0.8
337	-0.545140	127.186291	8.925643	0.010899	1.6
338	-0.583138	128.186277	8.865815	0.019249	0.9
339	-0.562764	127.679327	8.896045	0.013758	0.8
340	-0.589445	128.679327	8.836611	0.026840	0.8
341	-0.581589	129.561572	8.784831	0.012275	1.7
342	-0.573801	129.054623	8.814510	0.010660	1.3
343	-0.565486	130.054621	8.756157	0.008916	0.8
344	-0.562973	131.054621	8.698571	0.014693	1.3
345	-0.577212	130.547674	8.727669	0.007742	1.3
346	-0.563401	130.064079	8.755608	0.015845	0.8
347	-0.565473	130.964457	8.703732	0.015225	1.3
348	-0.565214	130.457507	8.732865	0.009367	1.4
349	-0.582853	131.457507	8.675584	0.017290	0.9
350	-0.594691	132.457507	8.619050	0.011404	1.6
351	-0.540797	133.457507	8.563248	0.022830	1.6
352	-0.575051	132.950603	8.591444	0.024378	0.9
353	-0.557530	132.443654	8.619828	0.021605	0.9
354	-0.572068	133.443654	8.564016	0.015748	1.8
355	-0.566247	132.936705	8.592219	0.019764	1.0
356	-0.562126	132.429756	8.620609	0.019675	0.9
357	-0.569769	133.429756	8.564787	0.018813	0.8
358	-0.579781	132.922806	8.592995	0.019097	1.9
359	-0.559509	133.922800	8.537529	0.016417	1.0
360	-0.576573	133.420319	8.565310	0.008725	1.0
361	-0.556518	132.920093	8.593147	0.013865	1.2
362	-0.588835	133.235336	8.575583	0.011174	1.1
363	-0.557633	134.235326	8.520341	0.013717	1.1
364	-0.581389	134.858388	8.486280	0.024241	1.2
365	-0.590610	134.351439	8.513973	0.011526	1.0
366	-0.574036	135.205196	8.467439	0.017236	1.0
367	-0.578492	136.205196	8.413576	0.019894	1.2
368	-0.558153	137.205196	8.360395	0.015905	1.0
369	-0.580500	136.727960	8.385691	0.022471	1.0
370	-0.575204	136.221011	8.412730	0.014419	1.0
371	-0.608273	137.221011	8.359559	0.016954	1.1
